latin,category,ideallight,toleratedlight,watering,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group,light_level_clean,watering_group,toxicity_any
Davallia trichomannoides,Fern,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Dieffenbachia amoena,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,28,12,bardzo toksyczna,bardzo toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Ficus elastica,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,30,10,"toksyczna (podrażnienia żołądkowe, wymioty)","może powodować podrażnienia skóry, żołądka",Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Dypsis lutescens,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Często,0
Epiphyllum,Cactus And Succulent,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,32,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Sukulent / kaktus,Rozproszone światło,Umiarkowanie,0
Echinocactus grusonii,Cactus And Succulent,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,40,5,nietoksyczna (ale kolce stanowią zagrożenie mechaniczne),nietoksyczna (oparzenia mechaniczne),Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,0
Euphorbia milii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,12,"toksyczna (sok mleczny – wymioty, biegunka, podrażnienia)",toksyczna (podrażnienia skóry i oczu),Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Epipremnum aureum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,30,12,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie jamy ustnej, podrażnienia gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło,Umiarkowanie,1
Guzmania,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Ficus maclellandii,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,10,toksyczna,może powodować podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Często,1
Ficus benjamina,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,10,"toksyczna (wymioty, biegunka, podrażnienia skóry u zwierząt)","toksyczna (podrażnienia skóry, reakcje alergiczne)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Często,1
Fatsia japonica,Aralia,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło,Umiarkowanie,0
Euphorbia ammack,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,35,12,"toksyczna (sok mleczny drażniący, wymioty)",toksyczna (silne podrażnienia skóry i oczu),Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Ficus pumila,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,10,toksyczna,może powodować podrażnienia skóry,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Często,1
Hedera canariensis,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,30,5,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, nudności)",Odporna na chłód,Normalna tolerancja ciepła,1,0,Wisząca,Rozproszone światło,Umiarkowanie,1
Ficus lyrata,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,10,"toksyczna (wymioty, ślinotok)","toksyczna (podrażnienia skóry, błon śluzowych)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Euphorbia ingens,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,12,"toksyczna (silne zatrucia, sok mleczny)","toksyczna (uszkodzenia skóry, oczu)",Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Ficus maclellandii Alii,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,10,toksyczna,może powodować podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Często,1
Euphorbia drupifera,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło,Rzadko,1
Hedera helix,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,30,5,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)",Odporna na chłód,Normalna tolerancja ciepła,1,0,Wisząca,Rozproszone światło,Umiarkowanie,1
Maranta leuconeura erythroneura,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło,Umiarkowanie,0
Monstera deliciosa,Philodendron,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,32,12,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie ust, gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Mandevilla X,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,10,"toksyczna (biegunka, wymioty)","toksyczna (podrażnienia skóry, zatrucia po spożyciu)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło,Często,1
Peperomia obtusifolia,Other,Bright light,/,Keep moist between watering. Water when soil is half dry.,32,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło,Umiarkowanie,0
